Name,County,State,Industry,Category,Website,Latitude,Longitude
6ixhemp,Douglas,CO,Industrial Processing,Decortication,https://6ixhemp.org/contact/,39.3483000,-104.9202000
Affordable housing hemp fiber and composites,Boulder,CO,Construction,Other,GAPhousing.com,40.0880000,-105.3448000
Agriculture Policy Solutions,Larimer,CO,Genetics & Testing,Lab Testing,www.agpolicysolutions.com,40.6291000,-105.4465000
Antedotum Inc.,Pitkin,CO,Industrial Processing,Other End Products,www.antedotum.comm,39.1900000,-106.8100000
Apex Herbology LLC,Denver,CO,Genetics & Testing,Lab Testing,apexherbology.com,39.7644000,-104.9549000
BoCo Farms,Boulder,CO,Genetics & Testing,Seeds and Genetics,N/A,40.0881111,-105.3448000
Cabaniss Group LLC,Fremont,CO,Industrial Processing,CBD Extraction,CabanissGroup.com,38.4842000,-105.4521000
Cloud CO. Farms,Alamosa,CO,Genetics & Testing,Seeds and Genetics,www.cloudcofarms.comm,37.5466000,-105.7781000
Colorado Hemp Genetics,El Paso,CO,Genetics & Testing,Seeds and Genetics,https://cohempgenetics.com/,38.8296000,-104.5628000
Colorado Hemp Procesing Cooporative,Denver,CO,Industrial Processing,CBD Extraction,https://cohpc.org/,39.7644111,-104.9549000
Dama Distributing,Adams,CO,Equipment & Packaging,Packaging,Damadistributing.com,39.8701000,-104.1631000
Delta AG,Delta,CO,Industrial Processing,Decortication,https://deltaag.com/,38.9419000,-107.8040000
DRAM Apothecary,Boulder,CO,Food & Drink,Beverage,https://www.dramapothecary.com/,40.0882222,-105.3448000
element6 Dynamics,Boulder,CO,Genetics & Testing,Seeds and Genetics,https://element6dynamics.com,40.0883333,-105.3448000
Enviro Textiles/Machinery,Garfield,CO,Industrial Processing,Decortication,https://www.envirotextiles.com/,39.7184000,-107.5261000
EnviroTextiles LLC,Garfield,CO,Industrial Processing,CBD Extraction,www.envirotextiles.com,39.7184111,-107.5261000
FarmMax,Denver,CO,Industrial Processing,Decortication,www.farmmax.us,39.7644222,-104.9549000
Fat Pig Society,Larimer,CO,Industrial Processing,CBD Extraction,https://fatpigsociety.com/,40.6291111,-105.4465000
Fields of Glory Organic Farm,Delta,CO,Industrial Processing,Decortication,FieldsofGlory.org,38.9419111,-107.8040000
Flora's Mercantile,Adams,CO,Industrial Processing,Other End Products,www.FlorasMercantile.com,39.8701111,-104.1631000
Formation Ag,Rio Grande,CO,Industrial Processing,Decortication,https://formation-ag.com/,37.6147000,-106.3753000
Global Fiber Processing Monte Vista,Rio Grande,CO,Industrial Processing,Decortication,https://www.globalfiberprocessing.com,37.6147111,-106.3753000
Globex Extraction Services,Larimer,CO,Industrial Processing,CBD Extraction,https://globexextraction.com/,40.6291222,-105.4465000
Gobi Labs,Jefferson,CO,Genetics & Testing,Lab Testing,https://gobilabs.com/,39.5234000,-105.2388000
Healthy Hemp Homes,Denver,CO,Construction,Insulation,https://www.healthyhemphomes.org/,39.7644333,-104.9549000
Hemp Building Company,Longmont,CO,Construction,Insulation,https://www.hempbuildingco.com/,40.1600000,-105.1000000
Hemp Processing Partners,Weld,CO,Equipment & Packaging,Equipment,https://hempprocessingpartners.com/our-story/,40.5020000,-104.5459000
Hemp Processing Partners,Weld,CO,Industrial Processing,Decortication,https://hempprocessingpartners.com/our-story/,40.5021111,-104.5459000
Hemp Wolf LLC,Denver,CO,Food & Drink,Beverage,HempWolf.com,39.7644444,-104.9549000
Hemp.Style,Douglas,CO,Industrial Processing,Other End Products,http://hemp.style,39.3483111,-104.9202000
HFF LLC,Pueblo,CO,Industrial Processing,CBD Extraction,Hempfieldsfarm.com,38.1295000,-104.5533000
IHempx,Boulder,CO,Equipment & Packaging,Equipment,https://ihempx.com/,40.0884444,-105.3448000
Ind Hemp,Benton,MT,Industrial Processing,Decortication,https://www.indhemp.com/,47.8000000,-110.6000000
Kairos Venture Group Inc,Adams,CO,Industrial Processing,Other End Products,kairosventuregroup.com trojanhorsecannabis.com,39.8701222,-104.1631000
Kaycha Labs,Denver,CO,Genetics & Testing,Lab Testing,https://www.kaychalabs.com/,39.7644555,-104.9549000
Minova Laboratories,Boulder,CO,Genetics & Testing,Seeds and Genetics,https://minovalabs.com/,40.0885555,-105.3448000
NanoLabs CBD,El Paso,CO,Industrial Processing,Other End Products,www.nanolabshemp.com,38.8296111,-104.5628000
Nepra Foods,Arapahoe,CO,Food & Drink,Food,https://neprafoods.com/,39.6519000,-104.2834000
New West Genetics,Larimer,CO,Genetics & Testing,Seeds and Genetics,https://newwestgenetics.com/,40.6291333,-105.4465000
Noble Soul Farm,El Paso,CO,Industrial Processing,Decortication,https://noblesoulfarm.com/,38.8296222,-104.5628000
Proper Rhino Packaging,Larimer,CO,Industrial Processing,Other End Products,properrhino.com,40.6291444,-105.4465000
Pure Vision/Hemp Technology,Weld,CO,Industrial Processing,Decortication,https://www.purevisiontechnology.com/about/about,40.5022222,-104.5459000
Result Group,Denver,CO,Genetics & Testing,Lab Testing,www.certifiedhemptesting.com,39.7644666,-104.9549000
Rocky Mountain Extraction Services,Weld,CO,Industrial Processing,CBD Extraction,www.rmextract.com,40.5023333,-104.5459000
Rocky Mountain Hemp and Western Fiber,Boulder,CO,Construction,Insulation,https://www.rockymountainhemp.farm/,40.0886666,-105.3448000
Rocky Mountain Hemp Build,Boulder,CO,Construction,Insulation,https://www.rmhempbuild.com/,40.0887777,-105.3448000
Root The Rockies,Elbert,CO,Industrial Processing,Other End Products,www.roottherockies.com,39.2151000,-104.1890000
Salt Creek Hemp,Mesa,CO,Industrial Processing,Other End Products,https://saltcreekhemp.com//,38.9347000,-108.5839000
Sati Soda,Boulder,CO,Food & Drink,Beverage,https://satisoda.com/,40.0888888,-105.3448000
SC Laboratories,Denver,CO,Genetics & Testing,Lab Testing,https://sclabs.com,39.7644777,-104.9549000
SLV Hemp,Rio Grande,CO,Industrial Processing,Decortication,https://slvhemp.com/,37.6147222,-106.3753000
SpinDrift Sandboards,Costilla,CO,Industrial Processing,Other End Products,https://spindriftsandboards.com/,37.3277000,-105.4554000
The Community College of Denver,Denver,CO,Genetics & Testing,Lab Testing,www.ccd.edu/cannabis,39.7644888,-104.9549000
Triverity Labs,Larimer,CO,Genetics & Testing,Lab Testing,https://www.triveritylabs.com/,40.6291555,-105.4465000
"Typhoon Farma, Inc",Montrose,CO,Industrial Processing,Decortication,www.typhoonfarma.com,38.4125000,-108.2803000
Vantage Hemp Co.,Weld,CO,Industrial Processing,CBD Extraction,www.vantagehemp.com,40.5024444,-104.5459000
Viobin,Denver,CO,Food & Drink,Food,www.viobin.com/,39.7644999,-104.9549000
Wright-Oakes LLC,Rio Grande,CO,Food & Drink,Food,https://himtp.com/,37.6147333,-106.3753000
Wright-Oakes LLC,Rio Grande,CO,Industrial Processing,Decortication,https://himtp.com/,37.6147444,-106.3753000